Block Size (bytes), # of Readers, Average Throughput (MBps), STD (MBps), %
1, 2, 2.425175, 0.102054, 4.2%
2, 2, 4.884737, 0.194158, 4.0%
4, 2, 9.619864, 0.218047, 2.3%
8, 2, 19.118722, 1.092804, 5.7%
16, 2, 37.514853, 1.006738, 2.7%
32, 2, 69.056892, 1.018207, 1.5%
64, 2, 126.765626, 3.560176, 2.8%
128, 2, 233.484285, 7.011155, 3.0%
256, 2, 432.730017, 7.756389, 1.8%
512, 2, 780.977651, 12.631337, 1.6%
1024, 2, 1294.291027, 31.973059, 2.5%
2048, 2, 1897.024482, 31.110665, 1.6%
4096, 2, 2499.360701, 67.846456, 2.7%
8192, 2, 3047.932122, 97.197921, 3.2%
16384, 2, 4441.999267, 101.818205, 2.3%
32768, 2, 6042.456987, 375.940058, 6.2%
65536, 2, 6642.977514, 268.930525, 4.0%
131072, 2, 7801.920554, 337.275077, 4.3%
262144, 2, 7910.111889, 973.969573, 12.3%
524288, 2, 8007.332898, 190.111848, 2.4%
1048576, 2, 8121.842941, 428.363924, 5.3%
